,Date,mode_of_purchase,sporting_equipment,store,estimated_spending,number_of_items_bought
231,2019-08-04,physical_collection,trail,west,42.441,2
232,2019-08-04,physical_collection,swimming,west,56.878,4
234,2019-08-04,order,golf,east,124.02799999999999,2
235,2019-08-04,order,fitness,south,865.642,20
236,2019-08-04,order,unknown,east,17.651,3
237,2019-08-04,order,jog/run,south,2285.677,28
238,2019-08-04,order,crosstrain,south,785.6220000000001,7
239,2019-08-04,order,cycling,south,59.775999999999996,5
240,2019-08-04,physical_collection,pilates,west,22.66,2
242,2019-08-04,order,skate/roller,east,732.9399999999999,6
243,2019-08-04,order,pilates,east,1314.826,20
244,2019-08-04,order,golf,south,98.255,5
245,2019-08-04,order,unknown,south,15.715,1
246,2019-08-04,physical_collection,hiking/trekking,west,673.71,8
247,2019-08-04,physical_collection,fitness,west,10.431999999999999,4
248,2019-08-04,order,hiking/trekking,east,8778.05,105
249,2019-08-04,physical_collection,cycling,west,89.11699999999999,1
250,2019-08-04,order,kayak/sup,east,390.145,1
251,2019-08-04,order,table_tennis,south,26.702999999999996,1
253,2019-08-04,order,surfing,east,1070.7469999999998,11
254,2019-08-04,physical_collection,boxing,west,31.511000000000003,2
256,2019-08-04,order,swimming,east,2774.652,31
257,2019-08-04,physical_collection,jog/run,west,101.89500000000001,4
259,2019-08-04,order,diving,east,1195.361,13
260,2019-08-04,physical_collection,tennis,west,58.911,3
261,2019-08-04,order,tennis,south,701.176,15
262,2019-08-04,order,trail,south,286.13,4
263,2019-08-04,physical_collection,diving,west,188.05599999999998,2
264,2019-08-04,physical_collection,kayak/sup,west,92.405,1
265,2019-08-04,order,badminton,south,418.62299999999993,6
266,2019-08-04,order,trail,east,646.007,5
269,2019-08-04,physical_collection,others,west,14.988,1
270,2019-08-04,physical_collection,climbing,west,34.534,5
271,2019-08-04,physical_collection,yoga,west,38.233,1
272,2019-08-05,order,skate/roller,south,510.814,7
273,2019-08-05,order,trail,south,1057.3600000000001,7
274,2019-08-05,order,golf,east,186.097,4
275,2019-08-05,order,fitness,south,1186.327,24
276,2019-08-05,order,pilates,east,1913.6970000000001,24
277,2019-08-05,order,football,east,1479.088,18
278,2019-08-05,order,surfing,south,1258.865,12
279,2019-08-05,order,badminton,east,1004.701,9
280,2019-08-05,order,swimming,east,4258.579,51
281,2019-08-05,order,fitness,east,2320.1330000000003,41
282,2019-08-05,order,pilates,south,872.628,15
283,2019-08-05,order,basketball,east,978.774,11
284,2019-08-05,order,table_tennis,east,67.15,1
285,2019-08-05,order,football,south,401.643,5
286,2019-08-05,order,skate/roller,east,1165.654,5
287,2019-08-05,order,surfing,east,1450.429,17
288,2019-08-05,physical_collection,surfing,west,35.493,5
289,2019-08-05,order,jog/run,south,3479.399,43
290,2019-08-05,order,tennis,south,1028.777,21
291,2019-08-05,order,diving,east,1540.577,14
292,2019-08-05,order,yoga,east,1263.383,12
293,2019-08-05,order,diving,south,619.786,5
294,2019-08-05,physical_collection,diving,west,40.062,3
295,2019-08-05,order,badminton,south,504.198,6
296,2019-08-05,order,hiking/trekking,east,13099.151,178
298,2019-08-05,order,trail,east,447.361,4
299,2019-08-05,order,yoga,south,758.6,6
300,2019-08-05,order,others,east,546.976,6
301,2019-08-05,order,squash,east,136.55,3
302,2019-08-05,physical_collection,yoga,west,43.265,2
303,2019-08-05,order,tennis,east,746.957,17
304,2019-08-05,order,others,south,24.127000000000002,3
305,2019-08-05,order,basketball,south,642.903,8
307,2019-08-05,order,golf,south,133.91199999999998,3
308,2019-08-05,order,climbing,east,207.33499999999998,2
309,2019-08-05,order,kayak/sup,east,263.002,2
310,2019-08-05,order,boxing,east,151.315,2
311,2019-08-05,order,hiking/trekking,south,9905.926,128
312,2019-08-05,physical_collection,badminton,west,24.506999999999998,4
314,2019-08-05,order,squash,south,167.887,4
315,2019-08-05,physical_collection,cycling,west,150.972,2
316,2019-08-05,order,climbing,south,54.166,4
317,2019-08-05,physical_collection,football,west,24.186,5
318,2019-08-05,physical_collection,basketball,west,21.463,4
319,2019-08-05,order,cycling,south,124.165,1
320,2019-08-05,physical_collection,swimming,west,87.696,1
321,2019-08-05,physical_collection,crosstrain,west,187.93599999999998,3
322,2019-08-05,order,table_tennis,south,20.693,3
323,2019-08-05,order,cycling,east,932.253,10
324,2019-08-05,physical_collection,trail,west,113.237,4
325,2019-08-05,physical_collection,climbing,west,24.332,2
326,2019-08-05,physical_collection,golf,west,47.263999999999996,3
328,2019-08-05,order,unknown,south,117.577,2
329,2019-08-05,physical_collection,ski,west,295.985,4
331,2019-08-05,physical_collection,fitness,west,120.63900000000001,5
332,2019-08-05,physical_collection,pilates,west,52.625,1
333,2019-08-05,physical_collection,others,west,54.226,3
334,2019-08-05,physical_collection,hiking/trekking,west,303.772,4
335,2019-08-05,order,crosstrain,east,1390.961,14
336,2019-08-05,order,crosstrain,south,1331.475,11
337,2019-08-05,order,jog/run,east,6774.173,65
338,2019-08-05,order,volleyball,east,40.657,1
339,2019-08-05,order,swimming,south,1454.834,22
342,2019-08-05,order,sailing,south,16.431,2
343,2019-08-05,order,volleyball,south,46.208999999999996,2
344,2019-08-05,physical_collection,kayak/sup,west,196.136,3
345,2019-08-05,physical_collection,jog/run,west,92.959,1
347,2019-08-06,order,hiking/trekking,east,11530.333,155
348,2019-08-06,order,tennis,south,1241.3870000000002,18
350,2019-08-06,order,swimming,south,1253.196,13
351,2019-08-06,order,football,east,821.576,14
352,2019-08-06,order,trail,east,300.434,7
353,2019-08-06,order,badminton,south,538.639,8
354,2019-08-06,order,swimming,east,3382.9019999999996,37
355,2019-08-06,order,jog/run,south,1811.824,25
356,2019-08-06,order,pilates,east,1124.667,22
357,2019-08-06,order,jog/run,east,4454.169,51
358,2019-08-06,order,surfing,south,736.775,10
359,2019-08-06,physical_collection,jog/run,west,233.435,4
360,2019-08-06,order,hiking/trekking,south,6514.585,102
361,2019-08-06,order,skate/roller,south,339.62399999999997,5
362,2019-08-06,order,basketball,east,1049.3200000000002,15
363,2019-08-06,order,surfing,east,1279.554,12
364,2019-08-06,order,fitness,east,1611.164,27
365,2019-08-06,physical_collection,badminton,west,11.446,1
367,2019-08-06,order,basketball,south,491.68500000000006,6
368,2019-08-06,order,tennis,east,1071.102,17
369,2019-08-06,order,skate/roller,east,1012.845,5
370,2019-08-06,physical_collection,kayak/sup,west,190.506,3
371,2019-08-06,order,diving,south,575.829,6
372,2019-08-06,order,football,south,521.417,7
373,2019-08-06,order,golf,east,290.556,4
374,2019-08-06,order,pilates,south,536.045,10
375,2019-08-06,physical_collection,golf,west,44.616,4
376,2019-08-06,order,trail,south,766.495,5
378,2019-08-06,order,squash,south,165.749,2
379,2019-08-06,physical_collection,football,west,31.648000000000003,2
380,2019-08-06,physical_collection,surfing,west,38.424,2
382,2019-08-06,order,others,east,361.099,3
383,2019-08-06,order,sailing,south,53.769000000000005,4
384,2019-08-06,order,cycling,east,851.22,12
385,2019-08-06,order,unknown,south,34.022000000000006,1
386,2019-08-06,order,climbing,east,120.51400000000001,4
387,2019-08-06,order,badminton,east,836.018,7
388,2019-08-06,physical_collection,crosstrain,west,395.527,2
389,2019-08-06,physical_collection,trail,west,69.556,1
390,2019-08-06,order,fitness,south,893.827,20
391,2019-08-06,order,table_tennis,east,202.23,4
392,2019-08-06,order,diving,east,885.778,9
393,2019-08-06,physical_collection,diving,west,109.7,3
394,2019-08-06,order,boxing,east,55.74400000000001,3
395,2019-08-06,order,crosstrain,south,953.893,6
396,2019-08-06,order,volleyball,east,73.806,1
397,2019-08-06,physical_collection,yoga,west,60.65599999999999,4
398,2019-08-06,order,yoga,east,1139.545,7
399,2019-08-06,physical_collection,others,west,27.778,1
400,2019-08-06,order,climbing,south,36.7,4
401,2019-08-06,order,golf,south,36.763999999999996,4
402,2019-08-06,order,rugby,south,17.512999999999998,3
403,2019-08-06,physical_collection,hiking/trekking,west,247.478,5
404,2019-08-06,order,kayak/sup,east,240.583,5
405,2019-08-06,order,squash,east,11.8,1
406,2019-08-06,physical_collection,fitness,west,118.91400000000002,2
407,2019-08-06,physical_collection,swimming,west,61.976,3
408,2019-08-06,order,cycling,south,220.27100000000002,3
409,2019-08-06,physical_collection,cycling,west,765.04,3
410,2019-08-06,order,crosstrain,east,932.857,10
412,2019-08-06,order,volleyball,south,34.124,2
413,2019-08-06,order,yoga,south,397.896,7
414,2019-08-06,physical_collection,tennis,west,28.252,1
416,2019-08-06,physical_collection,pilates,west,26.656,5
417,2019-08-07,order,hiking/trekking,east,7913.907000000001,103
418,2019-08-07,order,tennis,east,577.357,10
419,2019-08-07,order,swimming,east,2847.013,30
420,2019-08-07,physical_collection,jog/run,west,174.623,3
421,2019-08-07,order,crosstrain,south,676.6850000000001,6
422,2019-08-07,order,jog/run,east,2805.018,42
423,2019-08-07,order,pilates,east,859.441,15
424,2019-08-07,order,surfing,east,728.876,11
425,2019-08-07,order,table_tennis,east,142.035,3
426,2019-08-07,order,badminton,south,226.166,3
427,2019-08-07,order,jog/run,south,1650.4270000000001,26
428,2019-08-07,order,trail,south,319.875,3
429,2019-08-07,order,basketball,east,562.432,7
430,2019-08-07,physical_collection,swimming,west,23.877000000000002,1
431,2019-08-07,order,swimming,south,851.0040000000001,15
432,2019-08-07,order,unknown,east,259.62,3
433,2019-08-07,order,pilates,south,324.669,6
434,2019-08-07,order,badminton,east,494.23999999999995,6
435,2019-08-07,order,fitness,east,1142.4450000000002,11
436,2019-08-07,order,skate/roller,east,763.856,7
437,2019-08-07,order,football,east,814.533,9
438,2019-08-07,physical_collection,sailing,west,10.440000000000001,2
439,2019-08-07,order,trail,east,516.621,3
440,2019-08-07,order,skate/roller,south,181.618,3
441,2019-08-07,order,crosstrain,east,629.275,9
442,2019-08-07,order,tennis,south,490.072,13
443,2019-08-07,physical_collection,diving,west,62.903999999999996,2
444,2019-08-07,order,diving,east,1200.9940000000001,12
447,2019-08-07,order,golf,south,47.331,2
448,2019-08-07,order,sailing,south,60.197,4
449,2019-08-07,order,kayak/sup,east,266.972,2
450,2019-08-07,physical_collection,others,west,96.618,3
451,2019-08-07,physical_collection,trail,west,82.006,3
452,2019-08-07,order,basketball,south,443.60200000000003,9
453,2019-08-07,order,surfing,south,487.75200000000007,8
454,2019-08-07,order,table_tennis,south,48.949,1
456,2019-08-07,order,diving,south,611.613,6
457,2019-08-07,physical_collection,football,west,53.617,4
458,2019-08-07,order,squash,east,30.026,4
459,2019-08-07,physical_collection,skate/roller,west,76.8,1
460,2019-08-07,order,yoga,east,577.569,7
463,2019-08-07,physical_collection,golf,west,48.112,2
464,2019-08-07,order,football,south,339.617,5
465,2019-08-07,order,others,south,12.86,4
466,2019-08-07,order,fitness,south,865.966,15
467,2019-08-07,order,others,east,554.527,3
468,2019-08-07,order,golf,east,131.06300000000002,3
470,2019-08-07,order,climbing,east,142.951,4
472,2019-08-07,order,climbing,south,15.594,3
473,2019-08-07,order,hiking/trekking,south,3295.422,62
474,2019-08-07,order,cycling,south,38.956,2
475,2019-08-07,physical_collection,cycling,west,50.172000000000004,5
477,2019-08-07,physical_collection,surfing,west,54.049,4
478,2019-08-07,order,unknown,south,97.20700000000001,5
480,2019-08-07,physical_collection,pilates,west,129.246,4
481,2019-08-07,physical_collection,fitness,west,562.243,4
484,2019-08-07,physical_collection,hiking/trekking,west,604.397,4
485,2019-08-07,order,cycling,east,629.793,11
486,2019-08-07,order,yoga,south,250.06900000000002,3
487,2019-08-07,physical_collection,tennis,west,25.823,5
489,2019-08-07,order,squash,south,23.847,2
490,2019-08-07,physical_collection,crosstrain,west,236.11399999999998,3
491,2019-08-08,order,hiking/trekking,east,6127.157,89
492,2019-08-08,order,jog/run,south,1874.0009999999997,24
493,2019-08-08,order,diving,east,585.837,8
494,2019-08-08,order,yoga,east,910.01,12
495,2019-08-08,order,hiking/trekking,south,3775.345,62
496,2019-08-08,order,boxing,east,190.722,2
497,2019-08-08,physical_collection,hiking/trekking,west,181.302,6
498,2019-08-08,order,unknown,east,17.979,1
499,2019-08-08,order,surfing,east,666.598,10
500,2019-08-08,order,unknown,south,21.36,2
501,2019-08-08,physical_collection,crosstrain,west,529.197,1
502,2019-08-08,physical_collection,fitness,west,86.748,5
503,2019-08-08,order,tennis,east,725.5899999999999,10
504,2019-08-08,order,table_tennis,east,153.505,5
505,2019-08-08,order,badminton,south,148.647,2
506,2019-08-08,order,golf,east,76.402,3
507,2019-08-08,physical_collection,cycling,west,72.244,4
508,2019-08-08,order,cycling,east,394.268,6
509,2019-08-08,order,pilates,east,1066.318,15
510,2019-08-08,order,swimming,south,1042.324,13
511,2019-08-08,physical_collection,golf,west,19.783,1
512,2019-08-08,order,jog/run,east,2594.252,41
513,2019-08-08,order,crosstrain,south,574.804,10
514,2019-08-08,order,squash,south,13.734,1
515,2019-08-08,order,others,east,438.121,4
516,2019-08-08,order,badminton,east,451.912,6
517,2019-08-08,order,basketball,east,507.061,8
518,2019-08-08,order,fitness,east,1246.788,30
519,2019-08-08,order,football,east,662.181,10
521,2019-08-08,order,volleyball,east,53.838,1
522,2019-08-08,physical_collection,swimming,west,72.21000000000001,4
523,2019-08-08,order,sailing,south,50.208,2
524,2019-08-08,order,golf,south,65.28,1
525,2019-08-08,order,table_tennis,south,40.202,3
526,2019-08-08,order,crosstrain,east,1168.583,10
527,2019-08-08,order,cycling,south,168.03199999999998,3
529,2019-08-08,order,basketball,south,281.226,8
530,2019-08-08,order,climbing,east,212.657,3
531,2019-08-08,order,climbing,south,33.271,3
532,2019-08-08,physical_collection,trail,west,46.364999999999995,3
533,2019-08-08,order,surfing,south,420.038,9
534,2019-08-08,order,pilates,south,386.16999999999996,8
535,2019-08-08,order,trail,east,423.662,4
536,2019-08-08,order,rugby,east,22.916,4
537,2019-08-08,order,kayak/sup,east,202.661,1
538,2019-08-08,order,fitness,south,745.142,15
539,2019-08-08,order,volleyball,south,12.934999999999999,4
540,2019-08-08,order,football,south,319.113,4
542,2019-08-08,physical_collection,surfing,west,30.781,2
544,2019-08-08,physical_collection,tennis,west,25.6,4
545,2019-08-08,order,diving,south,590.678,7
546,2019-08-08,order,swimming,east,2135.6220000000003,32
548,2019-08-08,order,skate/roller,south,300.604,2
549,2019-08-08,physical_collection,basketball,west,10.604000000000001,1
550,2019-08-08,physical_collection,badminton,west,16.593,1
551,2019-08-08,physical_collection,pilates,west,89.86699999999999,4
552,2019-08-08,order,skate/roller,east,468.275,1
553,2019-08-08,order,tennis,south,383.899,11
554,2019-08-08,physical_collection,diving,west,157.482,3
555,2019-08-08,order,trail,south,254.783,4
556,2019-08-08,physical_collection,jog/run,west,213.882,5
557,2019-08-08,order,yoga,south,276.618,6
558,2019-08-08,physical_collection,football,west,11.633,2
559,2019-08-08,physical_collection,others,west,45.791000000000004,4
560,2019-08-09,order,swimming,east,2186.282,31
561,2019-08-09,order,pilates,east,1055.778,15
562,2019-08-09,order,jog/run,east,2765.8419999999996,42
563,2019-08-09,order,pilates,south,454.645,10
564,2019-08-09,order,badminton,south,243.666,3
566,2019-08-09,order,climbing,south,12.504999999999999,3
567,2019-08-09,order,basketball,east,529.5229999999999,6
568,2019-08-09,order,fitness,south,667.4100000000001,11
569,2019-08-09,order,tennis,east,479.062,14
570,2019-08-09,order,kayak/sup,east,440.07399999999996,5
572,2019-08-09,order,jog/run,south,1723.093,25
573,2019-08-09,physical_collection,trail,west,10.093,1
574,2019-08-09,order,trail,south,373.956,3
575,2019-08-09,order,football,south,486.287,4
576,2019-08-09,order,table_tennis,east,170.393,1
577,2019-08-09,order,crosstrain,south,665.124,9
578,2019-08-09,order,hiking/trekking,south,3928.767,57
579,2019-08-09,order,sailing,south,16.128,4
580,2019-08-09,physical_collection,football,west,23.835,4
581,2019-08-09,order,basketball,south,257.524,7
582,2019-08-09,order,yoga,south,395.986,8
583,2019-08-09,order,football,east,671.243,8
584,2019-08-09,order,hiking/trekking,east,8054.6539999999995,89
585,2019-08-09,order,skate/roller,south,174.346,2
586,2019-08-09,order,badminton,east,652.338,8
587,2019-08-09,order,surfing,south,305.621,5
588,2019-08-09,order,crosstrain,east,1062.059,11
589,2019-08-09,order,skate/roller,east,530.705,6
591,2019-08-09,order,diving,east,707.7189999999999,10
592,2019-08-09,order,swimming,south,1059.891,15
593,2019-08-09,physical_collection,swimming,west,235.98499999999999,3
594,2019-08-09,order,surfing,east,769.009,10
595,2019-08-09,physical_collection,skate/roller,west,184.388,4
597,2019-08-09,physical_collection,hiking/trekking,west,483.026,4
598,2019-08-09,physical_collection,others,west,67.577,1
599,2019-08-09,physical_collection,fitness,west,406.12399999999997,4
600,2019-08-09,order,diving,south,778.629,8
601,2019-08-09,order,golf,east,111.077,2
602,2019-08-09,order,others,east,306.45500000000004,2
603,2019-08-09,order,table_tennis,south,16.750999999999998,1
604,2019-08-09,order,volleyball,south,30.296,2
605,2019-08-09,order,yoga,east,707.771,9
610,2019-08-09,order,squash,east,17.877000000000002,4
611,2019-08-09,order,boxing,east,127.835,4
612,2019-08-09,order,trail,east,368.03000000000003,1
615,2019-08-09,order,rugby,south,15.581999999999999,4
616,2019-08-09,order,golf,south,51.099000000000004,5
617,2019-08-09,order,unknown,east,21.176,3
618,2019-08-09,order,unknown,south,32.565,3
620,2019-08-09,physical_collection,tennis,west,20.162,1
621,2019-08-09,physical_collection,kayak/sup,west,103.93699999999998,2
623,2019-08-09,order,cycling,east,690.0260000000001,8
624,2019-08-09,physical_collection,ski,west,17.198,1
625,2019-08-09,order,fitness,east,1505.678,30
626,2019-08-09,order,tennis,south,328.679,7
627,2019-08-09,physical_collection,golf,west,11.405,1
628,2019-08-09,physical_collection,crosstrain,west,195.31,1
629,2019-08-09,physical_collection,cycling,west,129.818,3
630,2019-08-09,physical_collection,basketball,west,20.866,5
632,2019-08-09,physical_collection,jog/run,west,177.406,3
633,2019-08-10,order,swimming,east,2836.9,34
634,2019-08-10,order,diving,east,728.559,5
635,2019-08-10,order,badminton,south,274.934,4
636,2019-08-10,order,trail,east,529.645,6
